waterbody_name,stationid,year_yyyy,month_mm,day_of_month_dd,time_hhmm,time_of_day,surface_ph,surface_chla_ug_l,surface_tp_ug_l,secchi_depth_m,surface_temp_c,hypo_temp_c,thermocline_depth,NO2NO3_mgL,silica_mgL,dissolved_P_ugL,TKN_mgL,do_epi_mgL,do_hypo_mgL,conductivity_umho_cm,DOC_mgL,DIC_mgL,chloride_mgL,alkalinity_mgL,hardness_mgL,turbidity_NTU,TN_mgL,surf_or_int
Allequash Lake,deep hole,1987,6,01,NA,day,NA,5.133333333333333,NA,3.9,19.24,NA,4.031477895682427,NA,NA,NA,NA,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1987,6,11,NA,day,8.115,2.3333333333333335,13,3.9,18.78,NA,4.596030716779551,0,5036,NA,NA,8.76,NA,NA,3.8499999999999996,9.765,NA,NA,NA,NA,0.2415,int
Allequash Lake,deep hole,1987,6,29,NA,day,NA,2.6,NA,3.6,21.233333333333334,NA,5.102690679461761,NA,NA,NA,NA,8.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1987,7,13,NA,day,8.695,6.966666666666667,11.5,NA,21.933333333333334,NA,5.604865941550202,0.007,5085,NA,NA,8.5,NA,NA,4.07,9.015,NA,NA,NA,NA,0.353,int
Allequash Lake,deep hole,1987,7,27,NA,day,NA,5.666666666666666,NA,4.1,22.616666666666667,NA,5.306647956453594,NA,NA,NA,NA,8.133333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1987,8,13,NA,day,8.895,8.066666666666666,17.5,2,21.633333333333333,NA,5.459307244819538,0.0015,5788,NA,NA,7.033333333333333,NA,86,4.805,9.135,0.30000000000000004,41.010607275000005,NA,NA,0.4245,int
Allequash Lake,deep hole,1987,8,26,NA,day,NA,8.9,NA,1.5,18.885714285714286,NA,6.5,NA,NA,NA,NA,7.728571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1987,9,10,NA,day,8.475000000000001,12.133333333333333,21,1.6,18.5,NA,4.345503894456563,0,6438.5,NA,NA,9.6,NA,NA,4.779999999999999,10.33,NA,NA,NA,NA,0.4665,int
Allequash Lake,deep hole,1987,9,21,NA,day,NA,13.36,NA,1.6,15.475,NA,NA,NA,NA,NA,NA,8.1375,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1987,10,05,NA,day,7.77,13.58,20,1.7,12.7,NA,NA,0.007666666666666667,6787,NA,NA,9.3,NA,NA,4.503333333333333,11.036666666666667,NA,NA,NA,NA,0.4703333333333333,int
Allequash Lake,deep hole,1987,10,21,NA,day,NA,8.74,NA,2.5,7.7125,NA,NA,NA,NA,NA,NA,9.712499999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1987,11,05,NA,day,7.536666666666667,5.78,21.333333333333332,3,5.6,NA,NA,0.045,6679,NA,NA,10.112499999999999,NA,91.66666666666667,4.1,10.196666666666667,0.2833333333333333,39.11729675,NA,NA,0.39966666666666667,int
Allequash Lake,deep hole,1987,11,18,NA,day,NA,6.6,NA,3.1,4.95,NA,NA,NA,NA,NA,NA,11.350000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1988,1,11,NA,day,7.09,1.6,7,3.9,1.2,NA,0.5,0.043,7428,NA,NA,7.9,NA,NA,3.49,11.1,NA,NA,NA,NA,0.297,int
Allequash Lake,deep hole,1988,3,02,NA,day,7.02,0.5,11,3,0.6,NA,1.202654574106191,0.046,8719,NA,NA,7.7,NA,111,3.13,13.89,0.39,46.39027815,NA,NA,0.194,int
Allequash Lake,deep hole,1988,3,21,NA,day,7.15,0.8,10,2.7,0.2,NA,0.5,0.053,7976,NA,NA,9.2,NA,NA,2.29,11.31,NA,NA,NA,NA,0.473,int
Allequash Lake,deep hole,1988,4,26,NA,day,7.6033333333333335,8.42,28.333333333333332,2.1,6.875,NA,NA,0.056,6969,NA,NA,11.825,NA,93,3.3133333333333335,9.813333333333333,0.35000000000000003,39.8345862,NA,NA,0.5513333333333333,int
Allequash Lake,deep hole,1988,5,09,NA,day,NA,2.3,NA,4.1,14.4,NA,3.709489482265167,NA,NA,NA,NA,10.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1988,5,25,NA,day,7.95,2.6,9.5,4.7,15.96,NA,4.437934831245961,0.0045,5243,NA,NA,9.06,NA,NA,3.575,9.715,NA,NA,NA,NA,0.331,int
Allequash Lake,deep hole,1988,6,07,NA,day,NA,1.2000000000000002,NA,5.4,23.775,NA,3.3862699684753403,NA,NA,NA,NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
Allequash Lake,deep hole,1988,6,20,NA,day,8.145,2.3666666666666667,8.5,5,22.8,NA,4.632937240740734,0.0045,5173,NA,NA,8.1,NA,NA,4.075,10.01,NA,NA,NA,NA,0.333,int
Allequash Lake,deep hole,1988,7,04,NA,day,NA,3.3333333333333335,NA,3.6,21.116666666666667,NA,5.724171507150906,NA,NA,NA,NA,8.416666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,int
